Name,Subtitle,Acceleration,TopSpeed,Range,Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK
Fiat E-Ulysse L2 50 kWh,46.3 kWh useable battery          Available since June 2022,12.1 sec,130 km/h,185 km,250 Wh/km,290 km/h,Front Wheel Drive,7,"€55,990",N/A
Fiat E-Ulysse L2 75 kWh,68 kWh useable battery          Available since June 2022,13.3 sec,130 km/h,265 km,257 Wh/km,290 km/h,Front Wheel Drive,7,"€61,990",N/A
Fiat E-Ulysse L3 50 kWh,46.3 kWh useable battery          Available since June 2022,12.1 sec,130 km/h,180 km,257 Wh/km,290 km/h,Front Wheel Drive,7,"€56,990",N/A
Fiat E-Ulysse L3 75 kWh,68 kWh useable battery          Available since June 2022,13.3 sec,130 km/h,260 km,262 Wh/km,280 km/h,Front Wheel Drive,7,"€62,990",N/A
Genesis GV70 Electrified Sport,74 kWh useable battery          Available since October 2022,4.2 sec,235 km/h,350 km,211 Wh/km,860 km/h,All Wheel Drive,5,"€67,300","£64,405"
Fiat 500e 3+1 24 kWh,21.3 kWh useable battery          Available since July 2022,9.0 sec,135 km/h,135 km,158 Wh/km,230 km/h,Front Wheel Drive,4,N/A,N/A
Fiat 500e Cabrio 24 kWh,21.3 kWh useable battery          Available since July 2022,9.0 sec,135 km/h,135 km,158 Wh/km,230 km/h,Front Wheel Drive,4,"€35,490",N/A
Tesla Model Y ,57.5 kWh useable battery          Available since November 2022,6.9 sec,217 km/h,345 km,167 Wh/km,580 km/h,Rear Wheel Drive,5,"€47,567","£44,990"
Peugeot e-308 ,50.8 kWh useable battery          Expected from May 2023,9.0 sec,150 km/h,310 km,164 Wh/km,460 km/h,Front Wheel Drive,5,"€44,000","£37,000"
Peugeot e-308 SW ,50.8 kWh useable battery          Expected from May 2023,9.0 sec,150 km/h,300 km,169 Wh/km,450 km/h,Front Wheel Drive,5,"€45,000","£38,000"
Hongqi E-HS9 84 kWh,76.5 kWh useable battery          Available since December 2022,6.5 sec,200 km/h,305 km,251 Wh/km,420 km/h,All Wheel Drive,5,N/A,N/A
Hongqi E-HS9 99 kWh,90 kWh useable battery          Available since December 2022,4.9 sec,200 km/h,355 km,254 Wh/km,410 km/h,All Wheel Drive,5,N/A,N/A
Smart #1 Brabus,62 kWh useable battery          Available since March 2023,3.9 sec,180 km/h,320 km,194 Wh/km,490 km/h,All Wheel Drive,5,"€48,990","£42,000"
Kia e-Soul 64 kWh,64 kWh useable battery          Available since September 2022,7.9 sec,167 km/h,370 km,173 Wh/km,350 km/h,Front Wheel Drive,5,"€46,950","£39,045"
Kia e-Soul 39.2 kWh,39.2 kWh useable battery          Available since September 2022,9.9 sec,157 km/h,230 km,170 Wh/km,200 km/h,Front Wheel Drive,5,N/A,"£32,845"
NIO ET7 75 kWh,70.5 kWh useable battery          Available since October 2022,3.8 sec,200 km/h,400 km,176 Wh/km,540 km/h,All Wheel Drive,5,"€81,900",N/A
NIO ET7 100 kWh,90 kWh useable battery          Available since October 2022,3.8 sec,200 km/h,505 km,178 Wh/km,530 km/h,All Wheel Drive,5,"€90,900",N/A
Ford Mustang Mach-E SR RWD,70 kWh useable battery          Available since November 2022,6.9 sec,180 km/h,355 km,197 Wh/km,370 km/h,Rear Wheel Drive,5,"€62,900","£50,830"
Ford Mustang Mach-E ER RWD,91 kWh useable battery          Available since November 2022,7.0 sec,180 km/h,455 km,200 Wh/km,400 km/h,Rear Wheel Drive,5,"€71,200","£59,380"
Ford Mustang Mach-E SR AWD,70 kWh useable battery          Available since November 2022,6.3 sec,180 km/h,345 km,203 Wh/km,360 km/h,All Wheel Drive,5,"€69,200",N/A
Ford Mustang Mach-E ER AWD,91 kWh useable battery          Available since November 2022,5.8 sec,180 km/h,440 km,207 Wh/km,390 km/h,All Wheel Drive,5,"€77,200","£65,405"
Ford Mustang Mach-E GT,91 kWh useable battery          Available since November 2022,4.4 sec,200 km/h,425 km,214 Wh/km,380 km/h,All Wheel Drive,5,"€86,200","£74,540"
Polestar 3 Long Range Dual motor,107 kWh useable battery          Available since November 2022,5.0 sec,210 km/h,490 km,218 Wh/km,640 km/h,All Wheel Drive,5,"€88,600","£79,900"
Polestar 3 Long Range Performance,107 kWh useable battery          Available since November 2022,4.7 sec,210 km/h,470 km,228 Wh/km,610 km/h,All Wheel Drive,5,"€95,200","£85,500"
Mercedes EQE SUV 350+,90.6 kWh useable battery          Available since December 2022,7.0 sec,210 km/h,470 km,193 Wh/km,700 km/h,Rear Wheel Drive,5,"€90,000",N/A
Mercedes EQE SUV 350 4MATIC,90.6 kWh useable battery          Available since December 2022,6.5 sec,210 km/h,455 km,199 Wh/km,680 km/h,All Wheel Drive,5,"€95,000","£90,560"
Mercedes EQE SUV 500 4MATIC,90.6 kWh useable battery          Available since December 2022,5.0 sec,210 km/h,455 km,199 Wh/km,680 km/h,All Wheel Drive,5,"€115,000","£108,760"
Mercedes EQE SUV AMG 43 4MATIC,90.6 kWh useable battery          Available since December 2022,4.3 sec,210 km/h,435 km,208 Wh/km,650 km/h,All Wheel Drive,5,"€124,920",N/A
Mercedes EQE SUV AMG 53 4MATIC+,90.6 kWh useable battery          Expected from May 2023,3.5 sec,240 km/h,425 km,213 Wh/km,630 km/h,All Wheel Drive,5,"€130,000","£120,000"
Rolls-Royce Spectre ,100 kWh useable battery          Expected from November 2023,4.5 sec,250 km/h,455 km,220 Wh/km,540 km/h,All Wheel Drive,4,"€400,000","£350,000"
Aiways U6 ,60 kWh useable battery          Available since December 2022,7.0 sec,160 km/h,350 km,171 Wh/km,430 km/h,Front Wheel Drive,5,"€47,588",N/A
Lotus Eletre ,107 kWh useable battery          Available since March 2023,4.5 sec,250 km/h,520 km,206 Wh/km,1090 km/h,All Wheel Drive,5,"€95,990","£89,500"
Lotus Eletre R,107 kWh useable battery          Available since March 2023,2.9 sec,260 km/h,450 km,238 Wh/km,940 km/h,All Wheel Drive,5,"€150,990","£120,000"
Audi Q8 e-tron 50 quattro,89 kWh useable battery          Available since December 2022,6.0 sec,200 km/h,415 km,214 Wh/km,580 km/h,All Wheel Drive,5,"€74,400","£67,800"
Audi Q8 e-tron 55 quattro,106 kWh useable battery          Available since December 2022,5.6 sec,200 km/h,495 km,214 Wh/km,670 km/h,All Wheel Drive,5,"€85,300","£77,800"
Audi Q8 e-tron Sportback 50 quattro,89 kWh useable battery          Available since December 2022,6.0 sec,200 km/h,440 km,202 Wh/km,610 km/h,All Wheel Drive,5,"€76,650","£70,300"
Audi Q8 e-tron Sportback 55 quattro,106 kWh useable battery          Available since December 2022,5.6 sec,200 km/h,525 km,202 Wh/km,710 km/h,All Wheel Drive,5,"€87,550","£80,300"
Audi SQ8 e-tron ,106 kWh useable battery          Expected from May 2023,4.5 sec,210 km/h,445 km,238 Wh/km,600 km/h,All Wheel Drive,5,"€110,000","£98,295"
Audi SQ8 e-tron Sportback ,106 kWh useable battery          Expected from May 2023,4.5 sec,210 km/h,470 km,226 Wh/km,630 km/h,All Wheel Drive,5,"€115,000","£100,795"
Volvo EX90 Twin Motor,107 kWh useable battery          Available since December 2022,5.9 sec,180 km/h,455 km,235 Wh/km,590 km/h,All Wheel Drive,7,"€105,550","£96,255"
Volvo EX90 Twin Motor Performance,107 kWh useable battery          Available since December 2022,4.9 sec,180 km/h,440 km,243 Wh/km,570 km/h,All Wheel Drive,7,"€110,650","£100,555"
Mercedes EQB 250+,70.5 kWh useable battery          Available since November 2022,8.9 sec,160 km/h,365 km,193 Wh/km,490 km/h,Front Wheel Drive,7,"€53,978",N/A
Toyota Proace City Verso Electric L1 50 kWh,46.3 kWh useable battery          Available since April 2022,11.2 sec,135 km/h,210 km,220 Wh/km,330 km/h,Front Wheel Drive,5,"€37,800",N/A
Toyota Proace City Verso Electric L2 50 kWh,46.3 kWh useable battery          Available since April 2022,11.2 sec,135 km/h,205 km,226 Wh/km,330 km/h,Front Wheel Drive,7,"€40,150",N/A
ORA Funky Cat 48 kWh,45.4 kWh useable battery          Available since November 2022,8.3 sec,160 km/h,260 km,175 Wh/km,240 km/h,Front Wheel Drive,5,"€38,990","£31,995"
BYD ATTO 3 ,60 kWh useable battery          Available since August 2022,7.3 sec,160 km/h,320 km,188 Wh/km,300 km/h,Front Wheel Drive,5,"€44,625","£36,490"
BYD TANG ,84 kWh useable battery          Available since August 2022,4.6 sec,180 km/h,350 km,240 Wh/km,330 km/h,All Wheel Drive,7,"€71,400",N/A
BYD HAN ,83 kWh useable battery          Available since March 2023,3.9 sec,180 km/h,465 km,178 Wh/km,450 km/h,All Wheel Drive,5,"€70,805",N/A
BMW i4 eDrive35,67 kWh useable battery          Available since November 2022,6.0 sec,190 km/h,400 km,168 Wh/km,540 km/h,Rear Wheel Drive,5,"€56,500","£49,995"
NIO ET5 75 kWh,70.5 kWh useable battery          Available since December 2022,4.0 sec,200 km/h,395 km,178 Wh/km,530 km/h,All Wheel Drive,5,"€59,500",N/A
NIO ET5 100 kWh,90 kWh useable battery          Available since December 2022,4.0 sec,200 km/h,495 km,182 Wh/km,520 km/h,All Wheel Drive,5,"€68,500",N/A
NIO EL7 75 kWh,70.5 kWh useable battery          Available since December 2022,3.9 sec,200 km/h,340 km,207 Wh/km,460 km/h,All Wheel Drive,5,"€85,900",N/A
NIO EL7 100 kWh,90 kWh useable battery          Available since December 2022,3.9 sec,200 km/h,430 km,209 Wh/km,450 km/h,All Wheel Drive,5,"€94,900",N/A
Abarth 500e Scorpionissima,37.3 kWh useable battery          Available since January 2023,7.0 sec,155 km/h,225 km,166 Wh/km,370 km/h,Front Wheel Drive,4,"€43,000","£36,000"
DS 3 E-Tense,50.8 kWh useable battery          Available since November 2022,9.0 sec,150 km/h,300 km,169 Wh/km,480 km/h,Front Wheel Drive,5,"€40,540","£37,200"
Opel Astra Electric,50.8 kWh useable battery          Expected from May 2023,8.5 sec,170 km/h,310 km,164 Wh/km,500 km/h,Front Wheel Drive,5,"€40,000","£36,000"
Opel Astra Sports Tourer Electric,50.8 kWh useable battery          Expected from May 2023,8.5 sec,170 km/h,300 km,169 Wh/km,480 km/h,Front Wheel Drive,5,"€42,000","£37,000"
Jeep Avenger Electric 1st Edition,50.8 kWh useable battery          Available since January 2023,9.0 sec,150 km/h,295 km,172 Wh/km,470 km/h,Front Wheel Drive,5,"€39,900","£36,500"
Mercedes EQS SUV 500 4MATIC,108.4 kWh useable battery          Available since December 2022,5.2 sec,210 km/h,485 km,224 Wh/km,630 km/h,All Wheel Drive,7,"€124,545",N/A
Volvo XC40 Recharge Single Motor,66 kWh useable battery          Available since December 2022,7.3 sec,180 km/h,345 km,191 Wh/km,420 km/h,Rear Wheel Drive,5,"€47,500","£46,505"
Volvo XC40 Recharge Single Motor ER,79 kWh useable battery          Available since December 2022,7.3 sec,180 km/h,405 km,195 Wh/km,600 km/h,Rear Wheel Drive,5,"€53,000",N/A
Volvo XC40 Recharge Twin Motor,79 kWh useable battery          Available since December 2022,4.8 sec,180 km/h,390 km,203 Wh/km,580 km/h,All Wheel Drive,5,"€59,950","£51,755"
Volvo C40 Recharge Single Motor,66 kWh useable battery          Available since December 2022,7.3 sec,180 km/h,355 km,186 Wh/km,430 km/h,Rear Wheel Drive,5,"€47,500","£48,355"
Volvo C40 Recharge Single Motor ER,79 kWh useable battery          Available since December 2022,7.3 sec,180 km/h,420 km,188 Wh/km,630 km/h,Rear Wheel Drive,5,"€54,450",N/A
Volvo C40 Recharge Twin Motor,79 kWh useable battery          Available since December 2022,4.7 sec,180 km/h,400 km,198 Wh/km,600 km/h,All Wheel Drive,5,"€61,400","£53,605"
Renault Kangoo E-Tech Electric,44 kWh useable battery          Available since December 2022,12.6 sec,132 km/h,215 km,205 Wh/km,230 km/h,Front Wheel Drive,5,"€39,300",N/A
Maserati GranTurismo Folgore,83 kWh useable battery          Expected from June 2023,2.7 sec,320 km/h,425 km,195 Wh/km,990 km/h,All Wheel Drive,4,"€250,000","£200,000"
Seres 3 ,51 kWh useable battery          Available since October 2021,8.9 sec,155 km/h,260 km,196 Wh/km,240 km/h,Front Wheel Drive,5,N/A,N/A
VinFast VF 8 Eco Standard Range,82 kWh useable battery          Expected from May 2023,5.9 sec,200 km/h,405 km,202 Wh/km,560 km/h,All Wheel Drive,5,"€61,700",N/A
VinFast VF 8 Eco Extended Range,87.7 kWh useable battery          Expected from May 2023,5.9 sec,200 km/h,425 km,206 Wh/km,550 km/h,All Wheel Drive,5,"€63,850",N/A
VinFast VF 8 Plus Standard Range,82 kWh useable battery          Expected from May 2023,5.5 sec,200 km/h,400 km,205 Wh/km,560 km/h,All Wheel Drive,5,"€68,700",N/A
VinFast VF 8 Plus Extended Range,87.7 kWh useable battery          Expected from May 2023,5.5 sec,200 km/h,425 km,206 Wh/km,550 km/h,All Wheel Drive,5,"€72,500",N/A
VinFast VF 9 Standard Range,92 kWh useable battery          Expected from June 2023,6.5 sec,200 km/h,400 km,230 Wh/km,540 km/h,All Wheel Drive,7,"€82,250",N/A
VinFast VF 9 Extended Range,123 kWh useable battery          Expected from June 2023,6.5 sec,200 km/h,520 km,237 Wh/km,520 km/h,All Wheel Drive,7,"€89,800",N/A
Jaguar I-Pace EV400,84.7 kWh useable battery          Available since January 2023,4.8 sec,200 km/h,380 km,223 Wh/km,360 km/h,All Wheel Drive,5,"€92,400","£69,995"
Dacia Spring Electric 65 Extreme,25 kWh useable battery          Available since January 2023,13.7 sec,125 km/h,160 km,156 Wh/km,170 km/h,Front Wheel Drive,4,"€24,550",N/A
ORA Funky Cat 63 kWh,59.3 kWh useable battery          Available since April 2023,8.2 sec,160 km/h,340 km,174 Wh/km,240 km/h,Front Wheel Drive,5,"€44,490",N/A
ORA Funky Cat GT,59.3 kWh useable battery          Available since April 2023,8.2 sec,160 km/h,330 km,180 Wh/km,230 km/h,Front Wheel Drive,5,"€49,490",N/A
Jeep Avenger Electric ,50.8 kWh useable battery          Available since January 2023,9.0 sec,150 km/h,300 km,169 Wh/km,480 km/h,Front Wheel Drive,5,"€37,000","£34,800"
Polestar 2 Standard Range Single Motor,67 kWh useable battery          Available since January 2023,6.4 sec,205 km/h,385 km,174 Wh/km,620 km/h,Rear Wheel Drive,5,"€50,775","£44,950"
Polestar 2 Long Range Single Motor,78 kWh useable battery          Available since January 2023,6.2 sec,205 km/h,440 km,177 Wh/km,680 km/h,Rear Wheel Drive,5,"€54,475","£48,950"
Polestar 2 Long Range Dual Motor,78 kWh useable battery          Available since January 2023,4.5 sec,205 km/h,420 km,186 Wh/km,650 km/h,All Wheel Drive,5,"€58,775","£52,950"
Polestar 2 Long Range Performance,78 kWh useable battery          Available since January 2023,4.2 sec,205 km/h,410 km,190 Wh/km,630 km/h,All Wheel Drive,5,"€65,275","£57,950"
XPENG P7 RWD Long Range,82.7 kWh useable battery          Available since February 2023,6.7 sec,200 km/h,500 km,165 Wh/km,700 km/h,Rear Wheel Drive,5,N/A,N/A
XPENG P7 AWD Performance,82.7 kWh useable battery          Available since February 2023,4.1 sec,200 km/h,470 km,176 Wh/km,650 km/h,All Wheel Drive,5,N/A,N/A
XPENG P7 Wing Edition,82.7 kWh useable battery          Available since February 2023,4.1 sec,200 km/h,465 km,178 Wh/km,650 km/h,All Wheel Drive,5,N/A,N/A
XPENG G9 RWD Standard Range,75 kWh useable battery          Available since February 2023,6.4 sec,200 km/h,375 km,200 Wh/km,780 km/h,Rear Wheel Drive,5,N/A,N/A
XPENG G9 RWD Long Range,94 kWh useable battery          Available since February 2023,6.4 sec,200 km/h,470 km,200 Wh/km,980 km/h,Rear Wheel Drive,5,N/A,N/A
XPENG G9 AWD Long Range,94 kWh useable battery          Available since February 2023,3.9 sec,200 km/h,440 km,214 Wh/km,920 km/h,All Wheel Drive,5,N/A,N/A
Mini Cooper SE Convertible,28.9 kWh useable battery          Available since April 2023,8.2 sec,150 km/h,170 km,170 Wh/km,240 km/h,Front Wheel Drive,4,"€60,000","£52,500"
Volkswagen ID.4 GTX,77 kWh useable battery          Available since July 2022,6.3 sec,180 km/h,400 km,193 Wh/km,560 km/h,All Wheel Drive,5,"€53,255","£52,865"
Hyundai Kona Electric 48 kWh,48.4 kWh useable battery          Expected from September 2023,10.0 sec,155 km/h,300 km,161 Wh/km,290 km/h,Front Wheel Drive,5,"€40,000","£35,000"
Hyundai Kona Electric 65 kWh,65.4 kWh useable battery          Expected from September 2023,8.0 sec,167 km/h,400 km,164 Wh/km,410 km/h,Front Wheel Drive,5,"€48,000","£40,000"
Volkswagen ID.3 Pro,58 kWh useable battery          Available since March 2023,7.3 sec,160 km/h,350 km,166 Wh/km,450 km/h,Rear Wheel Drive,5,"€39,995","£35,000"
Volkswagen ID.3 Pro S - 4 Seats,77 kWh useable battery          Available since March 2023,7.9 sec,160 km/h,455 km,169 Wh/km,680 km/h,Rear Wheel Drive,4,"€47,595","£43,000"
Kia EV9 99.8 kWh RWD,99.8 kWh useable battery          Expected from September 2023,9.4 sec,180 km/h,460 km,217 Wh/km,870 km/h,Rear Wheel Drive,7,"€65,000","£60,000"
Kia EV9 99.8 kWh AWD,99.8 kWh useable battery          Expected from September 2023,5.3 sec,180 km/h,450 km,222 Wh/km,850 km/h,All Wheel Drive,7,"€70,000","£65,000"
Peugeot e-208 ,48.1 kWh useable battery          Available since November 2022,8.2 sec,150 km/h,310 km,155 Wh/km,480 km/h,Front Wheel Drive,5,"€41,850","£34,955"
Maxus MIFA 9 ,90 kWh useable battery          Available since February 2023,9.2 sec,180 km/h,345 km,261 Wh/km,290 km/h,Front Wheel Drive,7,N/A,"£64,306"
BMW i7 M70 xDrive,101.7 kWh useable battery          Expected from September 2023,3.7 sec,250 km/h,490 km,208 Wh/km,730 km/h,All Wheel Drive,5,"€200,000","£175,000"
Volkswagen ID.7 Pro,77 kWh useable battery          Expected from October 2023,8.0 sec,180 km/h,470 km,164 Wh/km,700 km/h,Rear Wheel Drive,5,"€55,000","£53,000"
Volkswagen ID.7 Pro S,86 kWh useable battery          Expected from October 2023,7.0 sec,180 km/h,520 km,165 Wh/km,800 km/h,Rear Wheel Drive,5,"€60,000","£56,000"
Polestar 4 Long Range Single Motor,94 kWh useable battery          Expected from February 2024,7.4 sec,180 km/h,510 km,184 Wh/km,760 km/h,Rear Wheel Drive,5,"€60,000","£55,000"
Polestar 4 Long Range Dual Motor,94 kWh useable battery          Expected from February 2024,3.8 sec,200 km/h,475 km,198 Wh/km,710 km/h,All Wheel Drive,5,"€65,000","£60,000"
Maserati Grecale Folgore,95 kWh useable battery          Expected from September 2023,4.1 sec,220 km/h,405 km,235 Wh/km,440 km/h,All Wheel Drive,5,N/A,"£135,000"
